Time,PID,Tickets,Pass,Stride,Runtime
46904,7,2,0,512,3576
46904,8,4,0,256,3576
46904,9,8,0,128,3576
46904,10,16,0,64,3576
46904,11,32,0,32,3575
46904,12,32,0,32,3575
46904,13,32,0,32,3575
46904,14,32,0,32,3575
46904,15,32,0,32,3575
46904,16,32,0,32,1858
46904,17,32,0,32,1858
46904,18,8,0,128,1858
46904,19,2,0,512,1858
46904,20,8,0,128,1858
46904,21,8,0,128,1858
48792,1,8,0,128,23
48792,2,8,0,128,23
48792,6,1,0,1024,3694
48792,5,8,0,128,3726
48792,7,2,0,512,3694
48792,8,4,0,256,3694
48792,9,8,0,128,3694
48792,10,16,0,64,3694
48792,11,32,0,32,3693
48792,12,32,0,32,3693
48792,13,32,0,32,3693
48792,14,32,0,32,3693
48792,15,32,0,32,3693
48792,16,32,0,32,1976
48792,17,32,0,32,1976
48792,18,8,0,128,1976
48792,19,2,0,512,1976
48792,20,8,0,128,1976
48792,21,8,0,128,1976
50792,1,8,0,128,23
50792,2,8,0,128,23
50792,6,1,0,1024,3819
50792,5,8,0,128,3851
50792,7,2,0,512,3819
50792,8,4,0,256,3819
50792,9,8,0,128,3819
50792,10,16,0,64,3819
50792,11,32,0,32,3818
50792,12,32,0,32,3818
50792,13,32,0,32,3818
50792,14,32,0,32,3818
50792,15,32,0,32,3818
50792,16,32,0,32,2101
50792,17,32,0,32,2101
50792,18,8,0,128,2101
50792,19,2,0,512,2101
50792,20,8,0,128,2101
50792,21,8,0,128,2101
52792,1,8,0,128,23
52792,2,8,0,128,23
52792,6,1,0,1024,3944
52792,5,8,0,128,3976
52792,7,2,0,512,3944
52792,8,4,0,256,3944
52792,9,8,0,128,3944
52792,10,16,0,64,3944
52792,11,32,0,32,3943
52792,12,32,0,32,3943
52792,13,32,0,32,3943
52792,14,32,0,32,3943
52792,15,32,0,32,3943
52792,16,32,0,32,2226
52792,17,32,0,32,2226
52792,18,8,0,128,2226
52792,19,2,0,512,2226
52792,20,8,0,128,2226
52792,21,8,0,128,2226
54792,1,8,0,128,23
54792,2,8,0,128,23
54792,6,1,0,1024,4069
54792,5,8,0,128,4101
54792,7,2,0,512,4069
54792,8,4,0,256,4069
54792,9,8,0,128,4069
54792,10,16,0,64,4069
54792,11,32,0,32,4068
54792,12,32,0,32,4068
54792,13,32,0,32,4068
54792,14,32,0,32,4068
54792,15,32,0,32,4068
54792,16,32,0,32,2351
54792,17,32,0,32,2351
54792,18,8,0,128,2351
54792,19,2,0,512,2351
54792,20,8,0,128,2351
54792,21,8,0,128,2351
