Time,PID,Tickets,Pass,Stride,Runtime
23704,14,32,134751,32,3970
23704,15,8,134841,128,0
23704,16,8,134841,128,0
23704,17,8,134841,128,0
23704,18,8,134841,128,0
23704,19,8,134841,128,0
23704,20,8,134841,128,0
24341,1,8,2944,128,23
24341,2,8,5632,128,20
24341,5,1,137770,1024,128
24341,4,8,137217,128,1894
24341,6,2,137258,512,254
24341,7,4,137258,256,507
24341,8,8,137130,128,1012
24341,9,16,137130,64,2023
24341,10,32,137098,32,4044
24341,11,32,137119,32,4044
24341,12,32,137119,32,4044
24341,13,32,137119,32,4044
24341,14,32,137119,32,4044
24341,15,32,137113,32,68
24341,16,32,137113,32,68
24341,17,8,137145,128,18
24341,18,2,137529,512,6
24341,19,8,137145,128,18
24341,20,8,137145,128,18
24958,1,8,2944,128,23
24958,2,8,5632,128,20
24958,5,1,139818,1024,130
24958,4,8,139464,128,2027
24958,6,2,139818,512,259
24958,7,4,139562,256,516
24958,8,8,139434,128,1030
24958,9,16,139370,64,2058
24958,10,32,139338,32,4114
24958,11,32,139359,32,4114
24958,12,32,139359,32,4114
24958,13,32,139359,32,4114
24958,14,32,139359,32,4114
24958,15,32,139353,32,138
24958,16,32,139353,32,138
24958,17,8,139449,128,36
24958,18,2,139577,512,10
24958,19,8,139449,128,36
24958,20,8,139449,128,36
25570,1,8,2944,128,23
25570,2,8,5632,128,20
25570,5,1,141866,1024,132
25570,4,8,141720,128,2159
25570,6,2,141866,512,263
25570,7,4,141610,256,524
25570,8,8,141610,128,1047
25570,9,16,141610,64,2093
25570,10,32,141610,32,4185
25570,11,32,141599,32,4184
25570,12,32,141599,32,4184
25570,13,32,141599,32,4184
25570,14,32,141599,32,4184
25570,15,32,141593,32,208
25570,16,32,141593,32,208
25570,17,8,141625,128,53
25570,18,2,141625,512,14
25570,19,8,141625,128,53
25570,20,8,141625,128,53
26187,1,8,2944,128,23
26187,2,8,5632,128,20
26187,5,1,143914,1024,134
26187,4,8,143958,128,2291
26187,6,2,143914,512,267
26187,7,4,143914,256,533
26187,8,8,143914,128,1065
26187,9,16,143850,64,2128
26187,10,32,143850,32,4255
26187,11,32,143839,32,4254
26187,12,32,143839,32,4254
26187,13,32,143839,32,4254
26187,14,32,143839,32,4254
26187,15,32,143833,32,278
26187,16,32,143833,32,278
26187,17,8,143929,128,71
26187,18,2,144185,512,19
26187,19,8,143929,128,71
26187,20,8,143929,128,71
26776,1,8,2944,128,23
26776,2,8,5632,128,20
26776,5,1,146986,1024,137
26776,4,8,146100,128,2419
26776,6,2,146474,512,272
26776,7,4,146218,256,542
26776,8,8,146090,128,1082
26776,9,16,146026,64,2162
26776,10,32,145994,32,4322
26776,11,32,145983,32,4321
26776,12,32,145983,32,4321
26776,13,32,145983,32,4321
26776,14,32,145983,32,4321
26776,15,32,145977,32,345
26776,16,32,145977,32,345
26776,17,8,145977,128,87
26776,18,2,146233,512,23
26776,19,8,145977,128,87
26776,20,8,145977,128,87
27388,1,8,2944,128,23
27388,2,8,5632,128,20
27388,5,1,149034,1024,139
27388,4,8,148329,128,2548
27388,6,2,148522,512,276
27388,7,4,148266,256,550
27388,8,8,148266,128,1099
27388,9,16,148202,64,2196
27388,10,32,148202,32,4391
27388,11,32,148223,32,4391
27388,12,32,148223,32,4391
27388,13,32,148223,32,4391
27388,14,32,148223,32,4391
27388,15,32,148217,32,415
27388,16,32,148217,32,415
27388,17,8,148281,128,105
27388,18,2,148281,512,27
27388,19,8,148281,128,105
27388,20,8,148281,128,105
28003,1,8,2944,128,23
28003,2,8,5632,128,20
28003,5,1,151082,1024,141
28003,4,8,150570,128,2681
28003,6,2,150570,512,280
28003,7,4,150570,256,559
28003,8,8,150570,128,1117
28003,9,16,150506,64,2232
28003,10,32,150442,32,4461
28003,11,32,150463,32,4461
28003,12,32,150463,32,4461
28003,13,32,150463,32,4461
28003,14,32,150463,32,4461
28003,15,32,150457,32,485
28003,16,32,150457,32,485
28003,17,8,150457,128,122
28003,18,2,150841,512,32
28003,19,8,150457,128,122
28003,20,8,150457,128,122
28620,1,8,2944,128,23
28620,2,8,5632,128,20
28620,5,1,153130,1024,143
28620,4,8,152820,128,2813
28620,6,2,153130,512,285
28620,7,4,152874,256,568
28620,8,8,152746,128,1134
28620,9,16,152746,64,2267
28620,10,32,152714,32,4532
28620,11,32,152703,32,4531
28620,12,32,152703,32,4531
28620,13,32,152703,32,4531
28620,14,32,152703,32,4531
28620,15,32,152697,32,555
28620,16,32,152697,32,555
28620,17,8,152761,128,140
28620,18,2,152889,512,36
28620,19,8,152761,128,140
28620,20,8,152761,128,140
29243,1,8,2944,128,23
29243,2,8,5632,128,20
29243,5,1,155178,1024,145
